variant,chunking_strategy,total_chunks,total_queries,biencoder_retrieval_seconds,colbert_retrieval_seconds,faiss_index_mb,colbert_index_mb,log_path,biencoder_recall_at_1,colbert_recall_at_1,delta_at_1,biencoder_recall_at_5,colbert_recall_at_5,delta_at_5,biencoder_recall_at_10,colbert_recall_at_10,delta_at_10,biencoder_recall_at_20,colbert_recall_at_20,delta_at_20
paragraph,paragraph,3415,51,0.3077,3.1997,5.002,11.747,results\ablation\paragraph\benchmark_log.json,0.0818860877684407,0.11339869281045752,0.03151260504201682,0.22586367880485528,0.2487394957983193,0.022875816993464027,0.2800186741363212,0.29486461251167134,0.014845938375350143,0.3168534080298786,0.3119047619047619,-0.004948646125116696
sentence_window,sentence_window,4481,51,0.3228,3.2798,6.564,14.231,results\ablation\sentence_window\benchmark_log.json,0.0949579831932773,0.11503267973856209,0.02007469654528478,0.2127917833800187,0.23940242763772174,0.026610644257703042,0.2680672268907563,0.29486461251167134,0.02679738562091505,0.30541549953314656,0.30700280112044814,0.0015873015873015817
adaptive_sentence,adaptive_sentence,3511,51,0.3013,3.0784,5.143,12.148,results\ablation\adaptive_sentence\benchmark_log.json,0.0818860877684407,0.11993464052287581,0.03804855275443511,0.22586367880485528,0.2552754435107376,0.02941176470588233,0.2734827264239029,0.2976657329598506,0.024183006535947682,0.3168534080298786,0.3119047619047619,-0.004948646125116696
semantic_similarity,semantic_similarity,4992,51,0.32,3.182,7.313,12.686,results\ablation\semantic_similarity\benchmark_log.json,0.10149393090569561,0.12156862745098039,0.02007469654528478,0.2225957049486461,0.2361344537815126,0.013538748832866487,0.26741363211951447,0.29486461251167134,0.027450980392156876,0.30541549953314656,0.3098039215686274,0.004388422035480843
