entity_group,k,hybrid_recall
multi-entity,1,0.13378684807256236
multi-entity,5,0.26077097505668934
multi-entity,10,0.32312925170068024
multi-entity,20,0.36848072562358275
single-entity,1,0.1
single-entity,5,0.2292063492063492
single-entity,10,0.24984126984126984
single-entity,20,0.2807142857142857
overall,1,0.11391223155929038
overall,5,0.24220354808590103
overall,10,0.2800186741363212
overall,20,0.3168534080298786
