entity_group,k,hybrid_recall
multi-entity,1,0.12585034013605442
multi-entity,5,0.28458049886621317
multi-entity,10,0.35487528344671204
multi-entity,20,0.36167800453514737
single-entity,1,0.10277777777777777
single-entity,5,0.20777777777777778
single-entity,10,0.24174603174603174
single-entity,20,0.27706349206349207
overall,1,0.11227824463118581
overall,5,0.23940242763772174
overall,10,0.288328664799253
overall,20,0.3119047619047619
