system,recall_at_1,recall_at_5,recall_at_10,recall_at_20
graph,0.022408963585434174,0.07469654528478058,0.08776844070961719,0.1014939309056956
biencoder_graph_hybrid,0.11391223155929038,0.24220354808590103,0.2800186741363212,0.3168534080298786
colbert_graph_hybrid,0.11227824463118581,0.23940242763772174,0.288328664799253,0.3119047619047619
colbert_graph_selective,0.10639589169000932,0.24593837535014004,0.29486461251167134,0.3119047619047619
