variant,threshold,semantic_min_words,semantic_max_words,total_chunks,faiss_index_mb,colbert_index_mb,log_path,biencoder_recall_at_1,colbert_recall_at_1,delta_at_1,biencoder_recall_at_5,colbert_recall_at_5,delta_at_5,biencoder_recall_at_10,colbert_recall_at_10,delta_at_10,biencoder_recall_at_20,colbert_recall_at_20,delta_at_20
semantic_t072_w60_120,0.72,60,120,4992,7.313,12.686,results\semantic_tuning\semantic_t072_w60_120\benchmark_log.json,0.10149393090569561,0.12156862745098039,0.02007469654528478,0.2225957049486461,0.2361344537815126,0.013538748832866487,0.26741363211951447,0.29486461251167134,0.027450980392156876,0.30541549953314656,0.3098039215686274,0.004388422035480843
semantic_t070_w60_140,0.7,60,140,4963,7.27,12.677,results\semantic_tuning\semantic_t070_w60_140\benchmark_log.json,0.10149393090569561,0.12156862745098039,0.02007469654528478,0.2225957049486461,0.22633053221288515,0.0037348272642390434,0.26741363211951447,0.265452847805789,-0.0019607843137254832,0.30541549953314656,0.31470588235294117,0.009290382819794607
semantic_t068_w60_160,0.68,60,160,4937,7.232,12.665,results\semantic_tuning\semantic_t068_w60_160\benchmark_log.json,0.10149393090569561,0.12156862745098039,0.02007469654528478,0.2225957049486461,0.2361344537815126,0.013538748832866487,0.27721755368814194,0.27525676937441645,-0.0019607843137254832,0.30541549953314656,0.31470588235294117,0.009290382819794607
